Experiment,Date,A Total,A Repeat,A %,B Total,B Repeat,B %,C Total,C Repeat,C %,DRB1 Total,DRB1 Repeat,DRB1 %,DRB345 Total,DRB345 Repeat,DRB345 %,DQB1 Total,DQB1 Repeat,DQB1 %,DQA1 Total,DQA1 Repeat,DQA1 %,DPB1 Total,DPB1 Repeat,DPB1 %,DPA1 Total,DPA1 Repeat,DPA1 %,Overall Total,Overall Repeat,Overall %
NMD120623RT-05,2023-12-14,715,9,1.26,715,8,1.12,715,4,0.56,715,2,0.28,393,0,0.0,390,1,0.26,390,0,0.0,325,1,0.31,390,0,0.0,715,25,3.5
PAC120423AN,2023-12-14,715,0,0.0,715,1,0.14,715,0,0.0,715,0,0.0,715,1,0.14,41,0,0.0,41,0,0.0,674,1,0.15,41,0,0.0,715,3,0.42
PAC112723FIN-02,2023-12-14,715,0,0.0,715,0,0.0,715,0,0.0,715,0,0.0,0,0,,0,0,,0,0,,715,3,0.42,0,0,,715,3,0.42
PAC112723FIN-01,2023-12-14,715,1,0.14,715,0,0.0,715,0,0.0,715,1,0.14,0,0,,0,0,,0,0,,715,3,0.42,0,0,,715,5,0.7
PAC120123DAT,2023-12-14,358,0,0.0,358,0,0.0,358,0,0.0,358,1,0.28,0,0,,0,1,,0,0,,358,1,0.28,0,0,,358,3,0.84
EMB112223RT-03,2023-12-14,715,26,3.64,715,5,0.7,715,2,0.28,715,4,0.56,0,0,,0,0,,0,0,,715,4,0.56,0,0,,715,41,5.73
PAC112223EMB-02,2023-12-14,715,0,0.0,715,0,0.0,715,0,0.0,715,2,0.28,0,0,,0,0,,0,0,,715,11,1.54,0,0,,715,13,1.82
PAC112323EMB,2023-12-14,715,0,0.0,715,1,0.14,715,0,0.0,715,1,0.14,0,0,,0,0,,0,0,,715,4,0.56,0,0,,715,6,0.84
HDS113023RT-02,2023-12-14,715,11,1.54,715,4,0.56,715,2,0.28,715,15,2.1,0,0,,0,0,,0,0,,715,18,2.52,0,0,,715,50,6.99
PAC113023HDS-01,2023-12-14,715,3,0.42,715,1,0.14,715,2,0.28,715,8,1.12,0,0,,0,0,,0,0,,715,36,5.03,0,0,,715,50,6.99
NMD120623RT-04,2023-12-14,715,6,0.84,715,2,0.28,715,1,0.14,715,1,0.14,715,2,0.28,715,2,0.28,715,0,0.0,0,4,,715,0,0.0,715,18,2.52
PAC120623NMD-01,2023-12-14,715,4,0.56,715,0,0.0,715,0,0.0,715,1,0.14,715,8,1.12,715,1,0.14,715,0,0.0,0,1,,715,1,0.14,715,16,2.24
PAC120623NMD-02,2023-12-14,715,0,0.0,715,0,0.0,715,0,0.0,715,0,0.0,715,4,0.56,715,1,0.14,715,2,0.28,0,2,,715,1,0.14,715,10,1.4
PAC120623NMD-03,2023-12-14,715,1,0.14,715,1,0.14,715,0,0.0,715,1,0.14,715,3,0.42,715,0,0.0,715,1,0.14,0,4,,715,1,0.14,715,12,1.68
PAC120523AN,2023-12-21,715,0,0.0,715,0,0.0,715,0,0.0,715,3,0.42,715,1,0.14,41,0,0.0,41,0,0.0,674,2,0.3,41,0,0.0,715,6,0.84
ARC120823RT-02,2023-12-21,715,7,0.98,715,2,0.28,715,7,0.98,715,1,0.14,0,0,,0,0,,0,0,,715,5,0.7,0,0,,715,22,3.08
PAC120823ARC-01,2023-12-21,715,4,0.56,715,4,0.56,715,2,0.28,715,3,0.42,0,0,,0,0,,0,0,,715,1,0.14,0,0,,715,14,1.96
EMB112423RT-04,2023-12-21,715,9,1.26,715,4,0.56,715,1,0.14,715,3,0.42,0,0,,0,1,,0,0,,715,2,0.28,0,0,,715,20,2.8
PAC121123TOB,2023-12-21,715,0,0.0,715,0,0.0,715,0,0.0,715,3,0.42,0,0,,0,0,,0,0,,715,0,0.0,0,0,,715,3,0.42
EMB112423RT-03,2023-12-21,715,19,2.66,715,6,0.84,715,6,0.84,715,2,0.28,0,0,,0,0,,0,0,,715,2,0.28,0,0,,715,35,4.9
PAC112423EMB-01,2023-12-21,715,0,0.0,715,1,0.14,715,0,0.0,715,1,0.14,0,0,,0,0,,0,0,,715,2,0.28,0,0,,715,4,0.56
PAC112423EMB-02,2023-12-21,715,1,0.14,715,0,0.0,715,0,0.0,715,0,0.0,0,0,,0,1,,0,0,,715,6,0.84,0,0,,715,8,1.12
HDS120723RT-01,2023-12-21,715,9,1.26,715,7,0.98,715,9,1.26,715,0,0.0,0,0,,0,0,,0,0,,715,6,0.84,0,0,,715,31,4.34
PAC113023HDS-03,2023-12-21,715,1,0.14,715,0,0.0,715,0,0.0,715,4,0.56,0,0,,0,0,,0,0,,715,41,5.73,0,0,,715,46,6.43
PAC121323NMD-01,2023-12-21,715,1,0.14,715,1,0.14,715,0,0.0,715,0,0.0,715,4,0.56,715,0,0.0,715,3,0.42,0,0,,715,0,0.0,715,9,1.26
PAC121323NMD-02,2023-12-21,715,1,0.14,715,2,0.28,715,0,0.0,715,3,0.42,715,8,1.12,715,2,0.28,715,0,0.0,0,2,,715,1,0.14,715,19,2.66
PAC121323NMD-03,2023-12-21,715,2,0.28,715,1,0.14,715,1,0.14,715,1,0.14,715,4,0.56,715,0,0.0,715,1,0.14,0,0,,715,0,0.0,715,10,1.4
PAC121323NMD-04,2023-12-21,715,1,0.14,715,1,0.14,715,1,0.14,715,1,0.14,715,1,0.14,715,0,0.0,715,0,0.0,0,3,,715,0,0.0,715,8,1.12
AN121123RT,2023-12-28,715,17,2.38,715,8,1.12,715,4,0.56,715,4,0.56,715,1,0.14,41,0,0.0,41,0,0.0,674,0,0.0,41,0,0.0,715,34,4.76
PAC121123SBS,2023-12-28,715,0,0.0,715,0,0.0,715,1,0.14,715,3,0.42,715,2,0.28,486,0,0.0,486,0,0.0,229,1,0.44,486,2,0.41,715,9,1.26
PAC121323NMD-05,2023-12-28,715,0,0.0,715,0,0.0,715,0,0.0,715,1,0.14,611,0,0.0,391,0,0.0,391,1,0.26,324,7,2.16,391,1,0.26,715,10,1.4
NMD122023RT-05,2023-12-28,715,9,1.26,715,5,0.7,715,2,0.28,715,4,0.56,411,2,0.49,389,0,0.0,389,0,0.0,326,8,2.45,389,1,0.26,715,31,4.34
ARC120823RT-03,2023-12-28,715,7,0.98,715,6,0.84,715,7,0.98,715,2,0.28,0,0,,0,1,,0,0,,715,3,0.42,0,0,,715,26,3.64
EMB112423RT-05,2023-12-28,663,4,0.6,678,2,0.29,663,1,0.15,663,3,0.45,0,0,,0,0,,0,0,,663,2,0.3,0,0,,678,12,1.77
VIE121423RT,2023-12-28,715,7,0.98,715,30,4.2,715,7,0.98,715,5,0.7,31,0,0.0,31,11,35.48,31,0,0.0,684,12,1.75,31,0,0.0,715,72,10.07
PAC120723HDS-02,2023-12-28,715,2,0.28,715,0,0.0,715,1,0.14,715,1,0.14,0,0,,0,1,,0,0,,715,2,0.28,0,0,,715,7,0.98
NMD122023RT-01,2023-12-28,715,9,1.26,715,2,0.28,715,4,0.56,715,11,1.54,715,9,1.26,715,0,0.0,715,1,0.14,0,0,,715,0,0.0,715,36,5.03
NMD122023RT-02,2023-12-28,715,10,1.4,715,0,0.0,715,3,0.42,715,0,0.0,715,1,0.14,715,1,0.14,715,0,0.0,0,4,,715,1,0.14,715,20,2.8
NMD122023RT-03,2023-12-28,715,5,0.7,715,2,0.28,715,5,0.7,715,1,0.14,715,4,0.56,715,1,0.14,715,0,0.0,0,2,,715,1,0.14,715,21,2.94
NMD122023RT-04,2023-12-28,715,7,0.98,715,4,0.56,715,6,0.84,715,5,0.7,715,1,0.14,715,0,0.0,715,1,0.14,0,3,,715,2,0.28,715,29,4.06
NMD122723RT-05,2024-01-04,715,9,1.26,715,4,0.56,715,3,0.42,715,5,0.7,385,0,0.0,385,0,0.0,385,0,0.0,330,10,3.03,385,1,0.26,715,32,4.48
