Experiment,Date,A Total,A Repeat,A %,B Total,B Repeat,B %,C Total,C Repeat,C %,DRB1 Total,DRB1 Repeat,DRB1 %,DRB345 Total,DRB345 Repeat,DRB345 %,DQB1 Total,DQB1 Repeat,DQB1 %,DQA1 Total,DQA1 Repeat,DQA1 %,DPB1 Total,DPB1 Repeat,DPB1 %,DPA1 Total,DPA1 Repeat,DPA1 %,Overall Total,Overall Repeat,Overall %
PAC112023CAN,2023-12-07,522,70,13.41,522,0,0.0,522,0,0.0,522,6,1.15,515,46,8.93,515,0,0.0,515,0,0.0,7,2,28.57,515,0,0.0,522,124,23.75
PAC112823CAN,2023-12-14,522,1,0.19,522,3,0.57,522,0,0.0,522,9,1.72,522,32,6.13,522,17,3.26,522,1,0.19,0,1,,522,0,0.0,522,64,12.26
PAC120723CAN,2023-12-21,570,1,0.18,570,2,0.35,570,6,1.05,570,16,2.81,570,33,5.79,570,30,5.26,570,1,0.18,0,2,,570,1,0.18,570,92,16.14
PAC121623CAN,2024-01-04,570,112,19.65,570,0,0.0,570,1,0.18,570,15,2.63,570,20,3.51,570,2,0.35,570,0,0.0,0,2,,570,0,0.0,570,152,26.67
PAC122123CAN,2024-01-04,570,3,0.53,570,36,6.32,570,1,0.18,570,14,2.46,570,22,3.86,570,2,0.35,570,0,0.0,0,4,,570,6,1.05,570,88,15.44
PAC011124SAN,2024-01-11,333,3,0.9,333,4,1.2,333,4,1.2,333,14,4.2,324,9,2.78,324,2,0.62,324,19,5.86,9,1,11.11,324,20,6.17,333,76,22.82
PAC010524WBS,2024-01-18,665,5,0.75,665,1,0.15,653,95,14.55,665,5,0.75,608,19,3.12,608,5,0.82,36,0,0.0,45,42,93.33,608,1,0.16,665,173,26.02
PAC010924CAN,2024-01-18,760,4,0.53,760,2,0.26,760,3,0.39,760,14,1.84,760,22,2.89,760,4,0.53,760,0,0.0,0,186,,760,1,0.13,760,236,31.05
PAC012324CAN,2024-02-01,570,3,0.53,570,0,0.0,570,0,0.0,570,9,1.58,570,33,5.79,570,5,0.88,570,9,1.58,0,1,,570,59,10.35,570,119,20.88
PAC012324CAN,2024-02-08,570,3,0.53,570,0,0.0,570,0,0.0,570,9,1.58,570,33,5.79,570,5,0.88,570,9,1.58,0,1,,570,59,10.35,570,119,20.88
PAC012624CAN,2024-02-08,380,1,0.26,380,3,0.79,380,1,0.26,380,7,1.84,380,31,8.16,380,2,0.53,380,3,0.79,0,4,,380,0,0.0,380,52,13.68
PAC013124CAN,2024-02-22,760,10,1.32,760,1,0.13,760,6,0.79,760,45,5.92,722,63,8.73,722,32,4.43,722,6,0.83,38,10,26.32,722,4,0.55,760,177,23.29
PAC020924CAN,2024-02-22,380,2,0.53,380,61,16.05,380,0,0.0,380,3,0.79,372,39,10.48,372,4,1.08,372,0,0.0,8,1,12.5,372,0,0.0,380,110,28.95
PAC021524CAN,2024-02-22,760,7,0.92,760,3,0.39,760,17,2.24,760,13,1.71,758,60,7.92,758,14,1.85,758,3,0.4,2,7,350.0,758,9,1.19,760,133,17.5
PAC021524CAN,2024-02-29,760,7,0.92,760,3,0.39,760,17,2.24,760,13,1.71,758,60,7.92,758,14,1.85,758,3,0.4,2,7,350.0,758,9,1.19,760,133,17.5
PAC022024CAN,2024-03-07,190,1,0.53,190,1,0.53,190,2,1.05,190,5,2.63,190,17,8.95,190,3,1.58,190,3,1.58,0,1,,190,1,0.53,190,34,17.89
PAC022624CAN,2024-03-07,380,0,0.0,380,2,0.53,380,2,0.53,380,16,4.21,380,34,8.95,380,5,1.32,380,1,0.26,0,3,,380,1,0.26,380,64,16.84
PAC022724CAN,2024-03-07,760,4,0.53,760,24,3.16,760,1,0.13,760,14,1.84,704,110,15.62,704,8,1.14,704,1,0.14,56,6,10.71,704,3,0.43,760,171,22.5
PAC030124WBS,2024-03-14,237,1,0.42,237,3,1.27,237,1,0.42,237,13,5.49,228,10,4.39,228,5,2.19,0,0,,9,1,11.11,228,1,0.44,237,35,14.77
PAC030224WBS,2024-03-14,547,3,0.55,547,3,0.55,547,13,2.38,547,45,8.23,458,28,6.11,458,3,0.66,17,0,0.0,89,5,5.62,458,1,0.22,547,101,18.46
PAC022624CAN,2024-03-14,380,0,0.0,380,2,0.53,380,2,0.53,380,16,4.21,380,34,8.95,380,5,1.32,380,1,0.26,0,3,,380,1,0.26,380,64,16.84
PAC022724CAN,2024-03-14,760,4,0.53,760,24,3.16,760,1,0.13,760,14,1.84,704,110,15.62,704,8,1.14,704,1,0.14,56,6,10.71,704,3,0.43,760,171,22.5
PAC030124CAN,2024-03-14,760,90,11.84,760,0,0.0,760,2,0.26,760,17,2.24,736,51,6.93,736,8,1.09,736,2,0.27,24,0,0.0,736,5,0.68,760,175,23.03
PAC030124CAN,2024-03-21,760,90,11.84,760,0,0.0,760,2,0.26,760,17,2.24,736,51,6.93,736,8,1.09,736,2,0.27,24,0,0.0,736,5,0.68,760,175,23.03
PAC030424CAN,2024-03-21,760,0,0.0,760,2,0.26,760,7,0.92,760,10,1.32,760,31,4.08,760,8,1.05,760,3,0.39,0,0,,760,3,0.39,760,64,8.42
PAC030724CAN,2024-03-21,760,105,13.82,760,3,0.39,760,9,1.18,760,4,0.53,760,56,7.37,760,6,0.79,760,2,0.26,0,6,,760,32,4.21,760,223,29.34
PAC030824CANRR,2024-03-28,760,2,0.26,760,5,0.66,760,12,1.58,760,9,1.18,760,38,5.0,760,4,0.53,760,6,0.79,0,2,,760,101,13.29,760,179,23.55
PAC031424CANRR,2024-03-28,760,3,0.39,760,2,0.26,760,8,1.05,760,17,2.24,760,23,3.03,760,14,1.84,760,13,1.71,0,2,,760,203,26.71,760,285,37.5
PAC031824CAN,2024-03-28,760,70,9.21,760,1,0.13,760,3,0.39,760,9,1.18,760,16,2.11,760,8,1.05,760,6,0.79,0,7,,760,114,15.0,760,234,30.79
PAC032024CAN,2024-03-28,760,1,0.13,760,0,0.0,760,5,0.66,760,11,1.45,760,11,1.45,760,5,0.66,760,13,1.71,0,2,,760,132,17.37,760,180,23.68
PAC030824CANRR,2024-04-04,760,2,0.26,760,5,0.66,760,12,1.58,760,9,1.18,760,38,5.0,760,4,0.53,760,6,0.79,0,2,,760,101,13.29,760,179,23.55
PAC031424CANRR,2024-04-04,760,3,0.39,760,2,0.26,760,8,1.05,760,17,2.24,760,23,3.03,760,14,1.84,760,13,1.71,0,2,,760,203,26.71,760,285,37.5
PAC031824CAN,2024-04-04,760,70,9.21,760,1,0.13,760,3,0.39,760,9,1.18,760,16,2.11,760,8,1.05,760,6,0.79,0,7,,760,114,15.0,760,234,30.79
PAC032024CAN,2024-04-04,760,1,0.13,760,0,0.0,760,5,0.66,760,11,1.45,760,11,1.45,760,5,0.66,760,13,1.71,0,2,,760,132,17.37,760,180,23.68
PAC032224CAN,2024-04-04,760,4,0.53,760,4,0.53,760,8,1.05,760,18,2.37,760,18,2.37,760,58,7.63,760,7,0.92,0,23,,760,14,1.84,760,154,20.26
PAC032724CAN,2024-04-04,760,2,0.26,760,6,0.79,760,4,0.53,760,17,2.24,760,19,2.5,760,10,1.32,760,11,1.45,0,6,,760,106,13.95,760,181,23.82
PAC040824CAN,2024-04-11,380,9,2.37,380,0,0.0,380,5,1.32,380,21,5.53,376,21,5.59,344,2,0.58,344,11,3.2,36,0,0.0,344,4,1.16,380,73,19.21
PAC032224CAN,2024-04-11,760,4,0.53,760,4,0.53,760,8,1.05,760,18,2.37,760,18,2.37,760,58,7.63,760,7,0.92,0,23,,760,14,1.84,760,154,20.26
PAC032724CAN,2024-04-11,760,2,0.26,760,6,0.79,760,4,0.53,760,17,2.24,760,19,2.5,760,10,1.32,760,11,1.45,0,6,,760,106,13.95,760,181,23.82
PAC040824CAN,2024-04-18,380,9,2.37,380,0,0.0,380,5,1.32,380,21,5.53,376,21,5.59,344,2,0.58,344,11,3.2,36,0,0.0,344,4,1.16,380,73,19.21
PAC041224CAN,2024-04-18,760,4,0.53,760,6,0.79,760,4,0.53,760,20,2.63,760,39,5.13,760,92,12.11,760,5,0.66,0,4,,760,26,3.42,760,200,26.32
PAC041224CAN,2024-04-25,760,4,0.53,760,6,0.79,760,4,0.53,760,20,2.63,760,39,5.13,760,92,12.11,760,5,0.66,0,4,,760,26,3.42,760,200,26.32
